Timestamp,IP_Address,Country,AthleteNames,Sports,Age,Gender,Nationality,Match_or_sport_event_dates,Outcomes,Medals,Ranks,Stadiums,Athlete_Height,Athlete_Weight,Date_of_Birth
2023-03-15 12:00:00,192.168.1.1,USA,Michael Phelps,Swimming,36,Male,USA,2023-03-15 10:00:00,Win,Gold,1,Olympic Stadium,193,90,1985-06-30
2023-03-15 12:00:00,192.168.1.2,China,Liu Xiang,Athletics,35,Male,China,2023-03-15 11:00:00,Draw,Silver,2,Bird's Nest,182,70,1987-07-13
2023-03-15 12:00:00,192.168.1.3,India,Sania Mirza,Tennis,35,Female,India,2023-03-15 12:00:00,Lose,Bronze,3,Wimbledon,170,60,1986-11-15
2023-03-15 12:00:00,192.168.1.4,Russia,Maria Sharapova,Tennis,36,Female,Russia,2023-03-15 13:00:00,Win,Gold,1,US Open,188,65,1987-04-19
2023-03-15 12:00:00,192.168.1.5,Germany,Bastian Schweinsteiger,Soccer,38,Male,Germany,2023-03-15 14:00:00,Draw,Silver,2,Allianz Arena,186,80,1984-08-01
2023-03-15 12:00:00,192.168.1.6,USA,Simone Biles,Gymnastics,26,Female,USA,2023-03-15 15:00:00,Win,Gold,1,Staples Center,145,47,1997-03-14
2023-03-15 12:00:00,192.168.1.7,China,Li Na,Tennis,39,Female,China,2023-03-15 16:00:00,Lose,Bronze,3,Roland Garros,170,65,1982-02-26
2023-03-15 12:00:00,192.168.1.8,India,Viswanathan Anand,Chess,53,Male,India,2023-03-15 17:00:00,Draw,Silver,2,World Trade Center,175,65,1969-12-11
2023-03-15 12:00:00,192.168.1.9,Russia,Yelena Isinbayeva,Athletics,40,Female,Russia,2023-03-15 18:00:00,Win,Gold,1,Luzhniki Stadium,183,60,1982-06-03
2023-03-15 12:00:00,192.168.1.10,Germany,Boris Becker,Tennis,54,Male,Germany,2023-03-15 19:00:00,Lose,Bronze,3,Wimbledon,190,80,1967-11-22
2023-03-15 12:00:00,192.168.1.11,USA,Serena Williams,Tennis,41,Female,USA,2023-03-15 20:00:00,Win,Gold,1,US Open,180,70,1981-09-26
2023-03-15 12:00:00,192.168.1.12,China,Ding Junhui,Snooker,36,Male,China,2023-03-15 21:00:00,Draw,Silver,2,Crucible Theatre,175,65,1987-04-01
2023-03-15 12:00:00,192.168.1.13,India,Sachin Tendulkar,Cricket,49,Male,India,2023-03-15 22:00:00,Lose,Bronze,3,Lord's Cricket Ground,165,60,1973-04-24
2023-03-15 12:00:00,192.168.1.14,Russia,Anastasia Davydova,Synchronized Swimming,38,Female,Russia,2023-03-15 23:00:00,Win,Gold,1,Water Cube,170,60,1985-02-02
2023-03-15 12:00:00,192.168.1.15,Germany,Michael Schumacher,Formula 1,52,Male,Germany,2023-03-16 00:00:00,Draw,Silver,2,Circuit de Monaco,175,65,1969-01-03
2023-03-15 12:00:00,192.168.1.16,USA,Lindsey Vonn,Alpine Skiing,38,Female,USA,2023-03-16 01:00:00,Win,Gold,1,Courchevel,178,65,1984-10-18
2023-03-15 12:00:00,192.168.1.17,China,Yao Ming,Basketball,42,Male,China,2023-03-16 02:00:00,Lose,Bronze,3,Staples Center,229,140,1980-09-12
2023-03-15 12:00:00,192.168.1.18,India,Virat Kohli,Cricket,34,Male,India,2023-03-16 03:00:00,Draw,Silver,2,Melbourne Cricket Ground,180,70,1988-11-05
2023-03-15 12:00:00,192.168.1.19,Russia,Evgeni Plushenko,Figure Skating,40,Male,Russia,2023-03-16 04:00:00,Win,Gold,1,Bolshoi Ice Palace,175,65,1982-11-03
2023-03-15 12:00:00,192.168.1.20,Germany,Nadine Angerer,Soccer,41,Female,Germany,2023-03-16 05:00:00,Lose,Bronze,3,Allianz Arena,180,65,1978-11-10